,Model,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(11, {(3, 'donovan'), (2, 'shafter')})",2.510520737889934,0.0828428323141826,0.1070058136940308,13.699874060233624,0.9559441140143884,3.6997869981156186,3.7013340919503097
1,"(11, {(4, 'elcajon'), (2, 'shafter')})",1.819823842950581,0.08122939589833761,0.09506215083074683,8.309714957476922,0.9802614677722932,2.8810897640520325,2.882657620578088
2,"(11, {(3, 'donovan'), (4, 'elcajon')})",1.989343319592456,0.08213013560973396,0.07156681497482535,9.376444882082152,0.9671334960758726,3.0612616790291782,3.0620981176445263
3,"(12, {(3, 'donovan'), (2, 'shafter')})",2.6277268990341462,0.08657805554063279,0.03638822893175482,15.228847307323965,0.950617952156648,3.902245917992037,3.9024155733755426
4,"(12, {(4, 'elcajon'), (2, 'shafter')})",2.0590343031247347,0.09136298977215784,-0.01662882785908449,10.412437945918107,0.975070742172506,3.2267881032279084,3.2268309447379036
5,"(12, {(3, 'donovan'), (4, 'elcajon')})",2.3151634659084563,0.09549234851709784,0.1565845388149847,12.684212997509563,0.9555911468322426,3.5580464149755864,3.5614902776098605
6,"(13, {(3, 'donovan'), (2, 'shafter')})",2.7438982441727933,0.09030324812857653,0.07978487364230194,17.509871348058166,0.9449202918641576,4.183719128451503,4.184479818096649
7,"(13, {(4, 'elcajon'), (2, 'shafter')})",2.118791572654937,0.0944646729786543,0.08198079960826529,12.940877538600118,0.9692072655927108,3.5964088577957134,3.5973431221667083
8,"(13, {(3, 'donovan'), (4, 'elcajon')})",2.259132369687864,0.09459726005034423,-0.1993431137876352,13.032018923491313,0.9545608699354377,3.604480717514461,3.609988770549198
9,"(15, {(2, 'donovan'), (3, 'elcajon')})",2.3996516531550296,0.08584182159756698,0.11741671618055538,14.273780909705696,0.9631792484828556,3.7762407549212336,3.7780657630202383
10,"(15, {(4, 'shafter'), (2, 'donovan')})",2.50484957209046,0.10536452858095548,-0.1735283392661463,14.705337724633045,0.959539758504898,3.8308257113739663,3.834753932735847
11,"(15, {(4, 'shafter'), (3, 'elcajon')})",2.1707397938517605,0.10486679324465133,0.09077547858580116,10.88286254027128,0.9628375802701418,3.2976692324432437,3.298918389453016
12,"(17, {(2, 'elcajon'), (3, 'shafter')})",2.400814323070538,0.08922151299941404,0.3696808188150034,13.118403279064355,0.9703921878183924,3.6030181052006136,3.621933638136452
13,"(17, {(2, 'elcajon'), (4, 'donovan')})",2.303327366052464,0.059631256968374326,0.22415193232262565,14.098952679586489,0.9661249045689408,3.748160693154093,3.7548572116109145
14,"(17, {(3, 'shafter'), (4, 'donovan')})",2.4527118598367768,0.10780380653434854,-0.16821506496175134,14.760360419598308,0.9611910918699608,3.838237101233514,3.841921448910468
15,"(18, {(2, 'donovan'), (3, 'elcajon')})",2.263838090473018,0.0810207902190069,-0.03663006114077366,12.877416592708954,0.9661365427318224,3.5883247945377885,3.5885117517863803
16,"(18, {(4, 'shafter'), (2, 'donovan')})",2.192504702083669,0.09109296242453477,0.11023381126707428,11.432213376451912,0.9679358831660828,3.3793582055805267,3.3811556273635066
17,"(18, {(4, 'shafter'), (3, 'elcajon')})",2.006885264936436,0.09567742225529377,0.16626516300415994,8.850946228239117,0.9698616862089936,2.9704043738382957,2.975053987449491
18,"(19, {(2, 'elcajon'), (3, 'shafter')})",2.792022868719736,0.10225800446292299,-0.16740893098626872,19.136180599351643,0.9587613561068444,4.3712875467195484,4.374492039008832
19,"(19, {(2, 'elcajon'), (4, 'donovan')})",2.825030619886857,0.073437781826608,0.21371939958327515,19.799273955731515,0.95260807676597,4.44450199467437,4.449637508351834
20,"(19, {(3, 'shafter'), (4, 'donovan')})",2.528782329827776,0.1104983005923432,0.2615710457082573,16.61163107845949,0.9591215624900664,4.067334711427607,4.0757368755182775
21,"(20, {(2, 'donovan'), (3, 'elcajon')})",2.2852893255373337,0.08180707518095498,0.4499358903408421,13.342598838175574,0.9647452040811808,3.6249353576969683,3.652752227865391
22,"(20, {(4, 'shafter'), (2, 'donovan')})",2.1368756185269544,0.08919731002088144,0.09776881421287778,10.855888641564862,0.969280079735222,3.293376673334341,3.2948275586993723
23,"(20, {(4, 'shafter'), (3, 'elcajon')})",1.9467245240438296,0.09303442223196892,0.05061044541106157,8.351459712312144,0.9713755500224636,2.8894460150306416,2.8898892214602516
24,"(21, {(2, 'elcajon'), (3, 'shafter')})",2.577064286285474,0.0958647485703512,0.2653172148920869,14.767095802802801,0.9666499894094892,3.833627871128579,3.8427979133442345
25,"(21, {(2, 'elcajon'), (4, 'donovan')})",2.5565502443107633,0.06635328568305845,0.043517082644138866,16.272832804917385,0.961016556160769,4.0337252091132765,4.033959940916294
26,"(21, {(3, 'shafter'), (4, 'donovan')})",2.329297188262143,0.10237937344222928,0.06625181545744208,13.458343980038538,0.9646144389258756,3.667963276933052,3.6685615682496784
