,Model,Test,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,11,"(1, 'elcajon')",3.1731009984892147,5.872228798075461,0.5917777139065188,0.15514321865181446
1,11,"(2, 'shafter')",4.409531451911437,6.775849071835561,0.32845391075766556,0.21475241096502923
2,11,"(3, 'donovan')",3.922034353998939,5.339839218043466,0.33073784832789116,0.17853634728065707
3,17,"(2, 'elcajon')",2.9553580772989165,6.165247801713185,0.2625162098406867,0.1616442370463944
4,17,"(3, 'shafter')",3.3508382059429964,4.616605382711581,0.24480120965544983,0.20245651226768543
5,18,"(1, 'shafter')",4.09639896471772,5.8062901573145265,0.7335793662310319,0.1765371217508549
6,18,"(2, 'donovan')",5.569258573283067,7.102985280755036,0.536365810140048,0.166577654723254
7,18,"(3, 'elcajon')",3.0331296288703173,3.6288624827400326,0.19018869292526205,0.16121393255955993
8,13,"(1, 'elcajon')",2.323125137587499,5.245631219700422,0.4332587218921988,0.1385886243995612
9,13,"(2, 'shafter')",4.088218375172664,7.283177742541951,0.3014706994268047,0.23189528049880362
10,13,"(3, 'donovan')",3.769120823781789,5.326865443437249,0.3210378573248706,0.17905584084418524
11,12,"(1, 'elcajon')",2.598518723618114,5.2770109615448755,0.48461913772620796,0.13941767148161754
12,12,"(2, 'shafter')",4.271280526974793,7.070381288940461,0.3177597750368838,0.22359079778722524
13,12,"(3, 'donovan')",3.3829124545702163,5.6362545814499985,0.2851956553833595,0.18851867139884698
14,20,"(2, 'donovan')",5.25229185592839,7.218746698993147,0.5058392853065723,0.1692924661434309
15,20,"(3, 'elcajon')",2.442995790810304,4.016498777390462,0.1531312166516568,0.17852477382336793
16,15,"(1, 'shafter')",2.699767878527182,5.826665605230108,0.3997917692348589,0.17757797532558495
17,15,"(2, 'donovan')",5.408649735898047,7.8866295248311,0.5091900926396213,0.1836867155921535
18,15,"(3, 'elcajon')",2.4563392910202047,4.464520777772423,0.15484188267385338,0.19795607250051403
19,19,"(2, 'elcajon')",3.0121427941162464,6.764403549860503,0.2682173434532282,0.17724511735155113
20,19,"(1, 'donovan')",2.5511608859565267,4.15691673470762,0.6061534934887993,0.10975657695345709
21,19,"(3, 'shafter')",3.929015744325083,4.890629800376441,0.28704095747153785,0.21447357313330914
22,21,"(2, 'elcajon')",3.0011481208926853,5.918162410482014,0.2672383188034273,0.15507137964485507
23,21,"(1, 'donovan')",2.5277818330922135,4.175302772663381,0.6005986519081793,0.11024203016759336
24,21,"(3, 'shafter')",3.0720965390896153,4.516221404704412,0.22443726098551367,0.19805427547460902
