,Model,Testing Location,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)","(2, 'donovan', 15)",6.614367599822262,7.460038491004417,0.6227007876942493,0.1737510256173714,1.4594688942306294e-14,104.25080802434626,0.20961724721069663,10.210328497376874,10.210328497376873,-3.448138548524964e-14,98.13534715073573,0.6627956647458262,9.906328641365361,9.906328641365363
1,"(2, 'donovan', 18)","(2, 'donovan', 18)",6.391358197192203,6.6340539557532905,0.6148410756649276,0.15571207198025253,-5.54549188970165e-15,97.16983376274709,0.25109188780152236,9.85747603409448,9.857476034094482,6.86124874877247e-14,81.52107155970798,0.7197098470598424,9.028902012964146,9.028902012964144
2,"(2, 'donovan', 20)","(2, 'donovan', 20)",6.6569143406459945,7.5092814042607205,0.6411160850893417,0.17610602240269993,-1.9782387733033536e-14,101.43439398065827,0.22000001185183016,10.071464341428129,10.071464341428126,-1.002042212509191e-13,100.6225260734873,0.6543789146805838,10.031078011534316,10.031078011534317
3,"(2, 'elcajon', 17)","(2, 'elcajon', 17)",3.329343511841944,7.347522209340565,0.2957338419703841,0.19264183045169134,-1.993894690661287e-14,21.44064232133605,0.6683056754898863,4.6304041207367685,4.6304041207367685,1.4771083961110047e-13,82.57018513080972,0.8056920648261874,9.086813805224011,9.086813805224013
4,"(2, 'elcajon', 19)","(2, 'elcajon', 19)",2.975743138241373,7.397452167471528,0.26438386401157976,0.19377880706639364,3.346879552450943e-14,17.238379510696685,0.7329467308282112,4.151912753261645,4.1519127532616436,2.086460974030644e-14,84.2069024529306,0.8017465577143372,9.176431902048353,9.176431902048344
5,"(2, 'elcajon', 21)","(2, 'elcajon', 21)",3.7107750601304303,6.944404463931576,0.3304245623730735,0.18196161347759493,2.9744162704980823e-14,23.0381345245815,0.6426900117333068,4.799805675710372,4.799805675710372,-2.1546029082897015e-14,74.72418360943206,0.8239800432954216,8.644315103548234,8.64431510354823
6,"(2, 'shafter', 11)","(2, 'shafter', 11)",4.504942888800878,7.220906534864597,0.33556084715649026,0.22885521979195123,-4.043007614492636e-14,36.78222564140526,0.5643474086844908,6.0648351701761225,6.064835170176124,-9.570110709354938e-15,85.59784105543595,0.8389025582766584,9.251910130099398,9.251910130099402
7,"(2, 'shafter', 12)","(2, 'shafter', 12)",4.604631775659998,7.017506878858227,0.34255927418509285,0.22191738445319067,1.0031655362106766e-14,40.546712370052646,0.5372543750911494,6.367630043434736,6.367630043434735,5.314803194921835e-15,84.67298712645334,0.8401390898901092,9.201792603968714,9.201792603968714
8,"(2, 'shafter', 13)","(2, 'shafter', 13)",4.673229854612046,7.373229729933828,0.3446102295826165,0.2347601231800341,3.575557573086039e-14,38.776085292449636,0.551910963417451,6.227044667613172,6.227044667613172,1.2778038806342698e-13,90.71017236523693,0.8295498937830688,9.524188803527414,9.524188803527412
9,"(3, 'donovan', 11)","(3, 'donovan', 11)",5.181240883006885,5.585702850679721,0.436922969682985,0.18675662343188465,2.5057226240303576e-14,67.49386541589516,0.4444345152376329,8.215465015195134,8.215465015195132,-2.7866593643234762e-14,56.6656091877963,0.7301070748944084,7.5276562878359625,7.5276562878359625
