,Model,Test,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE
0,11,"(3, 'donovan')",2.9462390193366916,3.9283076533713865,0.2484500394387014,0.13134201599284764
1,11,"(4, 'elcajon')",2.4205221153838905,2.7074971645893804,0.12514901055209374,0.15245565598583966
2,11,"(2, 'shafter')",3.6528747045354764,5.490468124590881,0.27209262373949994,0.1740117093812387
3,12,"(3, 'donovan')",2.8742675674595097,4.427710696170089,0.24231367871099974,0.1480958898711971
4,12,"(4, 'elcajon')",3.052273943299163,3.1800090474590736,0.1578126725263342,0.17906218765876517
5,12,"(2, 'shafter')",3.5850212333218168,5.636304153656719,0.26670585867831836,0.17823906657369193
6,13,"(3, 'donovan')",3.3365719396124303,4.564897521286071,0.28419413041212,0.15344325339556386
7,13,"(4, 'elcajon')",2.672513477914383,3.2678874759344736,0.13813913698776276,0.18424242313108827
8,13,"(2, 'shafter')",3.8179379723845868,5.9234245076717675,0.2815398604665599,0.18859901535729412
9,15,"(3, 'elcajon')",2.3208406962630113,3.4075767146188443,0.14629889797401782,0.1510913571124019
10,15,"(2, 'donovan')",4.632016064642906,5.973685244555357,0.43607495479130337,0.1391325177756696
11,15,"(4, 'shafter')",2.8239985453952916,3.665932194766901,0.22751014971702227,0.18568138381583002
12,17,"(3, 'shafter')",2.906909886782119,3.64262750115903,0.21236926789886174,0.15973491078472443
13,17,"(4, 'donovan')",4.381286060229993,7.854089596753945,0.5751755713333696,0.211284675961904
14,17,"(2, 'elcajon')",2.586405894302875,4.399568058986093,0.22974131365431433,0.1153505658005955
15,18,"(3, 'elcajon')",2.541184019222801,3.1419621957476123,0.15933985059138905,0.13958315696423965
16,18,"(2, 'donovan')",4.730047732793249,5.5595260586402,0.45502498001984476,0.13049114878969578
17,18,"(4, 'shafter')",2.5177036157122785,2.87843604355826,0.20399059944699405,0.1436684413573721
18,19,"(3, 'shafter')",3.031248073225168,3.7563786845720872,0.2178451219546649,0.1642005930707788
19,19,"(4, 'donovan')",3.99096326112047,6.925012080110992,0.5276346303286819,0.18551328533714587
20,19,"(2, 'elcajon')",2.6550096245419126,5.10741487264027,0.23588786764006894,0.13379049148372849
21,20,"(3, 'elcajon')",2.2560120244045656,3.2738174026408164,0.14140898149647013,0.1455141763357345
22,20,"(2, 'donovan')",4.519562277852796,6.065707161860233,0.43527134729711264,0.14225163551983566
23,20,"(4, 'shafter')",2.5074072213211247,2.82619862337359,0.20326276936925186,0.14086009851943393
24,21,"(3, 'shafter')",2.5519669975067716,3.702395955209611,0.1864383087438963,0.16235585093643437
25,21,"(4, 'donovan')",4.7931232316053505,6.93187093437592,0.6292415869017997,0.18647585899512376
26,21,"(2, 'elcajon')",2.4195305303222696,4.539744076081084,0.21544618137051014,0.11895320342435728
