,Model,NO2 MAE,O3 MAE,NO2 CvMAE,O3 CvMAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
8,"(2, 'donovan', 15)",0.08603153905711736,0.2052934714989032,0.00944038448834561,0.005035583006932964,-0.09426415387369191,3.3323563942206818,-0.03537592996903649,0.18104615854012884,0.17016278795624729,0.17485214799559756,6.858135230142381,-0.03566091651792491,0.26789790464965435,0.2926053027444162
6,"(2, 'donovan', 18)",-0.1253394001393513,-0.02553165064394136,-0.006706505782472227,-0.0009869040797615136,0.0041206780946185795,-5.714869376849109,0.00924308855709477,-0.2893690391027697,-0.2877308043164035,0.14556801442969747,-1.988015558142564,0.020785968539314692,-0.1003276864245013,-0.08692671171148447
7,"(2, 'donovan', 20)",-0.13941550507456402,0.020145803361675263,-0.005087967643989777,-0.0008056888622516856,-0.1072099449048782,-2.9836225625229673,-0.0007970391339803262,-0.16009497040591292,-0.15690827577651056,0.2565274478803419,-0.025367419342444464,0.018362098976440366,-0.0886462132357213,-0.0010485998954443687
3,"(2, 'elcajon', 17)",-0.009328985056697103,-0.036327677586130314,-0.0010330138574189962,0.0007677784140694699,-0.004705778235646579,-0.31737964544151964,-0.0017606264692762164,-0.04528402618748251,-0.04513813041006021,-0.12820148039056645,-1.121243589725502,0.002867556408127525,-0.09091639344031588,-0.09290220255682069
4,"(2, 'elcajon', 19)",0.010741449361102884,-0.01382468240706558,0.0007965982224140966,0.0010262447166518585,-0.02182667534453589,-0.36711937574668596,-0.003337262704052546,-0.04803201448143524,-0.0491669545591642,0.147607680867068,-0.7973710036413024,0.001742734668656598,-0.055735568723335405,-0.0564791369759341
5,"(2, 'elcajon', 21)",-0.101881655638274,-0.06413298818612478,-0.006350143201642067,-0.0004104888417296171,-0.07041625350057878,-1.0013177930219772,0.006954441874139072,-0.14635359952766702,-0.1488491746099987,-0.002920365698166283,-1.2355362019581548,0.002801746943941308,-0.10778449371684751,-0.10780762502250418
0,"(2, 'shafter', 11)",0.08073882157149459,0.02430261785478649,0.009466048299148655,0.0003252178090970559,0.06146264579551641,4.4137233318228155,-0.058085489870223106,0.31960078937529435,0.3163838300614312,-0.04063469524540286,1.5057934454992932,-0.0084750666876372,0.060017410051482756,0.0680776344640801
1,"(2, 'shafter', 12)",0.03665070682515914,0.0632659442326613,0.0021013160510503504,0.0005154570130963543,-0.11536301526823145,5.171722306445652,-0.04002572772351487,0.3516207296262799,0.3182654115672614,0.16548952868067435,6.5661493478934005,-0.009463109722145369,0.2178886002212863,0.20908440323328925
2,"(2, 'shafter', 13)",-0.12606157161851517,-0.1509725097796455,-0.011363606550964744,-0.0016051821530028154,-0.013255606991294355,-2.682685447268625,0.026512137820102977,-0.18310670265718887,-0.17357261841967286,-0.16134438567072795,-5.761397571206487,0.005593471364559122,-0.139715959360025,-0.19115287675892745
15,"(3, 'donovan', 11)",-0.06378840930312446,-0.08367824094111587,6.689110401886245e-05,-0.003770136874067853,-0.13717518446585186,-4.087829063597546,0.014288691112719465,-0.3112853852441182,-0.29028676326139724,0.1900080619819713,-1.2647959362815158,0.009654158915339606,-0.1122811616837236,-0.06847761336427993
16,"(3, 'donovan', 12)",-0.08249556422014948,0.07855889283103856,-0.0023154888419051334,0.002068675974921691,-0.10906244990316871,-3.1242961493931958,0.012678402056689908,-0.19500320685148065,-0.2160710535972452,0.15004363201669324,0.5814060493001136,0.0005485367344270076,0.01466345704809946,0.030927668007018738
17,"(3, 'donovan', 13)",-0.09443390843189992,-0.036286402923348504,-0.0020553141322405266,-0.0011909339485516313,-0.06691824337579694,-8.024236298548665,0.02012324117189701,-0.5126831165519485,-0.5100808292333481,0.0779676659849935,-1.260658361537935,0.0005057050987030687,-0.10245542787206219,-0.05639847430239797
