,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
0,"(2, 'donovan', 15)",0.01617651283609156,0.15597410070219286,-0.11393331366290438,8.551181168057227,-0.07602880034217219,0.4382306859518863,0.4103347564287798,0.0037186403089963516,0.14708859471846658,0.3395283038958399,24.72363604044466,-0.09956957955484247,0.9252562757567784,0.9371932148595494
252,"(2, 'donovan', 15)",0.012614519377860178,0.11877760803903215,-0.13192113112476567,10.34524330253268,-0.08885260701569875,0.5318623429051108,0.511674203378675,0.003058389705252351,0.11900026451857215,0.28389294689332745,62.41968845668541,-0.22883289392580575,2.258198048933254,2.2712011531201384
246,"(2, 'donovan', 15)",0.010901237934234698,0.10065312032643092,0.00819637109796223,5.870212860180089,-0.05500244909528618,0.29559369681556547,0.29245255276257254,0.0020028701509630653,0.07408686224447081,0.13067590350873637,4.733496564023426,-0.029973860170309674,0.16545862808333567,0.19062390768922555
468,"(2, 'donovan', 15)",-0.007201724755473871,-0.11262958753123975,0.05999239387056754,-0.7252961786212495,-0.02857810472671174,-0.010056751901217353,-0.02036311558038051,0.00300810966651055,0.10503428754311628,0.40443768390957935,3.475135669019437,-0.05717945891183107,-0.199061579441576,0.07750178997295976
120,"(2, 'donovan', 15)",0.04207975686662402,0.3971495808004839,-0.4967537783405742,17.996561454410994,-0.1959941650337056,0.12650920376246688,0.37894144830485743,0.005544343489477854,0.18928355957694265,0.7332214669532959,15.587247196255248,-0.2621502569665779,-0.29772059444766796,0.16189610819778721
138,"(2, 'donovan', 15)",0.04435002523680387,0.4365690799229345,0.4883330207492378,27.346398595295796,-0.24037098192628514,0.6675459485773629,0.7626673344031829,0.006907093906954986,0.264034517597036,-0.6556633276749356,40.375740528565984,-0.22149880107342135,0.6656504171926585,0.6596915675964006
264,"(2, 'donovan', 15)",-0.006617189436262549,-0.10210749034458111,0.08542777323005613,-2.1915458979593723,-0.01548715231401454,-0.05776433225755184,-0.06347316396410108,-0.0017551173326381675,-0.1013434205888224,0.17598744377718134,-5.510328438146985,-0.03992790275890368,-0.21887257713528285,-0.10814989162822997
324,"(2, 'donovan', 15)",-0.009485608420888747,-0.13801447466092576,-0.03478496344242288,-0.609629247588714,-0.030840438443423324,-0.038923939753669146,-0.01677619546717324,0.011021483813296151,0.4501972949753288,0.9746268851686004,31.622462542494304,-0.15705094837128075,0.5169492407852445,0.673258153166838
444,"(2, 'donovan', 15)",-0.030897930646070826,-0.3992239970588649,-0.30304310274217805,-22.044166381749164,-0.05419897587761291,-0.15108553616025944,-0.2433615303168608,0.0044335856330848245,0.13885184345626556,0.5176207853114008,-24.223189519584594,-0.3132343859369531,0.01884158373654543,-0.18305133602541446
18,"(2, 'donovan', 15)",0.008386159008253236,0.07363443783711343,-0.1650767901550414,3.561693429189731,-0.037357196627242795,0.20358078626125042,0.1796631137336302,0.00028892540761743524,-0.000936284284845712,0.29164500741915944,6.574107634850407,-0.03829268808004038,0.22734317945690208,0.24696683548538623
210,"(2, 'donovan', 15)",0.003948721419087198,0.014855992075755609,0.013334515216681275,15.412521157918206,-0.1382682231258887,0.5550230365552355,0.5353637967785474,-0.016169826877166393,-0.7324969102307328,-0.7434803187429253,-40.75323203603148,0.005733470374928551,-0.21721320232428099,-0.5320801505780537
78,"(2, 'donovan', 15)",0.007938714994398577,0.06846116216786147,-0.11321662308441094,4.080800270574258,-0.04132967683029665,0.2319159940575144,0.20522239967652567,0.0007069167008932342,0.017251147319891302,0.12884926530387014,4.246929394332284,-0.03031649045786866,0.15585016593703216,0.15996333090188308
54,"(2, 'donovan', 15)",0.014146974580572236,0.1351039258531399,-0.1313836264530115,6.341672910920536,-0.05863050305724826,0.3432130944882861,0.3147983142576649,0.004262514261087896,0.17026120006048906,0.22118649047368247,7.7317365519391785,-0.04179405306744988,0.28984316926820064,0.2943885484298203
480,"(2, 'donovan', 15)",-0.02385881041617144,-0.2895136606176596,0.3036738820915481,-5.807091118024687,0.01499064961372154,-0.036802695984665235,-0.17748022211365821,0.0032017104183030276,0.11429420503922572,0.7895304100031542,-5.638016749300107,-0.024067053270043992,-0.35133239534606986,-0.12891558989327123
198,"(2, 'donovan', 15)",0.05028207941561291,0.4882455848576477,-0.14368610714548424,55.529453565850645,-0.4883720154168083,1.0958405310961687,1.0846573465078215,0.01588335349464387,0.6536477834484238,0.5591411894811484,61.72908132719863,-0.29124759159349534,0.9699910454647558,1.024908055056482
