,Benchmark,Board,Calibration,Model,NO2 CvMAE,NO2 MAE,NO2 MBE,NO2 MSE,NO2 R^2,NO2 crMSE,NO2 rMSE,O3 CvMAE,O3 MAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE,NO2 MAE Improvement,NO2 CvMAE Improvement,NO2 MSE Improvement,NO2 rMSE Improvement,NO2 crMSE Improvement,NO2 R^2 Improvement,NO2 MBE Improvement,O3 MAE Improvement,O3 CvMAE Improvement,O3 MSE Improvement,O3 rMSE Improvement,O3 crMSE Improvement,O3 R^2 Improvement,O3 MBE Improvement
0,Level 1,15.0,Random Forest,"(3, 'elcajon', 15)",0.4845785686159255,7.7347620695937325,-1.549682820185826,92.4023940021862,0.10436819828150344,9.486879210731372,9.612616397328367,0.6588995095058574,14.806332665330661,-10.459020950992894,299.56407782255417,0.025854181839631733,13.790321191663587,17.307919511673095,,,,,,,,,,,,,,
1,Level 1,15.0,Random Forest,"(4, 'shafter', 15)",0.8094054179059414,10.104196631916599,-7.710301309810212,148.51749744838278,-1.109983303008936,9.437624232841744,12.186775514810419,0.8526258275723574,16.762942849505478,-9.49302015503876,355.7046319420476,-0.26443727409162543,16.29684632921583,18.860133402021514,,,,,,,,,,,,,,
2,Level 1,18.0,Random Forest,"(3, 'elcajon', 18)",0.4730353135900113,7.550281028368794,-1.9147601063829789,93.28489617765958,0.09497661406954803,9.466709561017693,9.658410644493204,0.7940779579300881,17.90131897163121,-13.517346276595744,428.93974338758863,-0.3892463588172037,15.691433746671837,20.710860517795695,,,,,,,,,,,,,,
3,Level 1,18.0,Random Forest,"(4, 'shafter', 18)",0.6707442427830588,8.310704282588308,-5.660345212045431,105.16865691049286,-0.4782395072901409,8.551558278522531,10.255177078456171,0.9370330733209064,18.791311243096803,-13.505921016984471,467.7515682029802,-0.6556316929606154,16.892059249421223,21.62756500864071,,,,,,,,,,,,,,
4,Level 1,20.0,Random Forest,"(3, 'elcajon', 20)",0.5328912175315647,8.493662411347518,-1.4319312056737583,106.36520740354612,-0.03316830351238309,10.21346074676766,10.313350929913424,0.6721994489406629,15.183007092198586,-10.831123049645386,328.5909596496454,-0.06438614364815609,14.535395871220214,18.12707807810308,,,,,,,,,,,,,,
5,Level 1,20.0,Random Forest,"(4, 'shafter', 20)",0.8060473773691833,10.004823676531887,-7.215544601917465,147.66709192746978,-1.0727176665417617,9.777679071497976,12.151834920186735,0.8775261168045579,17.50469820758649,-11.532916006669446,400.4688338474364,-0.4342605654496825,16.354225210340722,20.011717413741287,,,,,,,,,,,,,,
6,Level 1,17.0,Random Forest,"(3, 'shafter', 17)",0.3929560966951617,5.378845697126867,-1.4597885757182831,46.900743211902,0.4103739380254519,6.691020888183236,6.848411729145818,0.4702865905836292,10.625598034532178,1.4261175185968744,182.6867756462158,0.5200225936055147,13.440720385059981,13.51616719511178,,,,,,,,,,,,,,
7,Level 1,17.0,Random Forest,"(4, 'donovan', 17)",1.0245,8.219964912280703,-5.854280701754385,89.04763857309942,-0.3151899511754086,7.401015878794316,9.436505633607148,0.4135472428248952,14.998947368421053,12.864631578947368,306.21076949707606,-0.7865134841564536,11.86220990520005,17.49887909258979,,,,,,,,,,,,,,
8,Level 1,19.0,Random Forest,"(3, 'shafter', 19)",0.3588061950135105,5.030991793313071,-1.076570212765957,43.90123931854104,0.4601629313296278,6.537754652441929,6.6258010322179945,0.4408947696185293,10.017135866261398,-2.456377507598784,139.0081856948328,0.6586524424275708,11.531452433886876,11.790173268227775,,,,,,,,,,,,,,
9,Level 1,19.0,Random Forest,"(4, 'donovan', 19)",0.7473772116065108,6.175695906432747,-3.535766081871345,60.78301730994153,0.04495587948544344,6.9484800873449775,7.7963464077695726,0.3767818659658344,13.414315789473687,11.953684210526314,263.20436748538015,-0.4970233867174157,10.968764801945293,16.223574436152475,,,,,,,,,,,,,,
10,Level 1,21.0,Random Forest,"(3, 'shafter', 21)",0.3781183671149499,5.175744489183104,-1.7159268409199482,45.332372232853345,0.4300911608403123,6.510604219998619,6.732931919517182,0.4590076543164383,10.370763120180168,0.3691932027571148,170.33179019013173,0.5524831472185296,13.045899224245513,13.051122181258275,,,,,,,,,,,,,,
11,Level 1,21.0,Random Forest,"(4, 'donovan', 21)",0.7035437317784256,5.644807017543858,-3.0127836257309943,47.16885054970761,0.30333920982593393,6.171870492341427,6.8679582518902675,0.4155414382457272,15.071274853801171,13.927228070175442,299.8298510409357,-0.7492855418410338,10.288934314216077,17.31559560168046,,,,,,,,,,,,,,
12,Level 1,11.0,Random Forest,"(3, 'donovan', 11)",0.4662434354037585,5.609282642846142,0.7197298629293091,81.19572526308949,0.36208918281537983,8.982077387080189,9.01086706499932,0.3076919457551744,9.164059402433393,1.3264697212382572,125.41667052180813,0.3973535718718873,11.120123587462787,11.198958457008764,,,,,,,,,,,,,,
13,Level 1,11.0,Random Forest,"(4, 'elcajon', 11)",0.3665553252300352,7.084364907350488,3.0639540177395266,84.9200945367735,0.16488130491247388,8.690930923321812,9.21520995619598,0.448302219122371,8.015424782646878,-2.8109205585316595,94.22506385420569,0.6836047512729742,9.291059652581602,9.706959557668185,,,,,,,,,,,,,,
14,Level 1,12.0,Random Forest,"(3, 'donovan', 12)",0.5271332312404289,6.335137994763593,0.4355415986446943,86.78798315234869,0.3089930233974062,9.305820042758116,9.316006824404363,0.3796052298246656,11.322005144001233,3.992942307099956,191.52861536083165,0.08035874316556957,13.250850051713774,13.839386379490662,,,,,,,,,,,,,,
15,Level 1,12.0,Random Forest,"(4, 'elcajon', 12)",0.4071166611382483,7.8682883287959955,1.906229419513481,99.8564327611065,0.017994807018981818,9.809318129273198,9.992819059760189,0.4770970657288525,8.530262580135242,-3.4217921840695524,111.54212523193115,0.6254563593514326,9.991669704357307,10.561350540150213,,,,,,,,,,,,,,
16,Level 1,13.0,Random Forest,"(3, 'donovan', 13)",0.5622937341563667,6.697549539406345,-0.07615185943363985,101.11141249314228,0.24694302623090825,10.055128710635536,10.05541707206331,0.3762113737418333,11.193315216649609,4.901089423404983,178.73316009843742,0.14714390302385538,12.4383472600754,13.369112165676427,,,,,,,,,,,,,,
17,Level 1,13.0,Random Forest,"(4, 'elcajon', 13)",0.4081075262838423,7.909172234195402,2.319152191091955,102.49633293352728,0.01264240331317501,9.854839727163537,10.124047260534065,0.5939222979828727,10.512680675287355,-4.72607004310345,161.66281280084772,0.4494037861409848,11.803689031337953,12.714669197460378,,,,,,,,,,,,,,
18,Level 1,11.0,Random Forest,"(2, 'shafter', 11)",0.3883482943643093,5.2643446936252865,-1.418637471304962,52.03852361080701,0.3901548045025467,7.072905438065495,7.213773188200957,0.3965099707992617,12.4901621048914,5.0361108952851845,269.72726720113013,0.5048831858607072,15.632173689270472,16.423375633563587,,,,,,,,,,,,,,
19,Level 1,11.0,Random Forest,"(4, 'elcajon', 11)",0.2157667431557424,4.17009449372091,-1.3833590937033455,29.15419143338895,0.7132927084102516,5.2192441072685245,5.399462142972108,0.33758135308506143,6.0357897602529205,-1.4158846052516023,54.34006534785282,0.8175332784260105,7.234316562914864,7.371571430017674,,,,,,,,,,,,,,
20,Level 1,12.0,Random Forest,"(2, 'shafter', 12)",0.4252339340039178,5.707906323977005,0.8726273249915456,67.35679533513698,0.2111139655024105,8.160595375756298,8.207118576890247,0.4619015533279196,14.551859316875209,4.277972945552925,345.7733331687521,0.3430173494273337,18.09619519804838,18.5949813973758,,,,,,,,,,,,,,
21,Level 1,12.0,Random Forest,"(4, 'elcajon', 12)",0.3246865295921845,6.275172389567051,-4.432675858435057,63.68276077983665,0.3737328676783533,6.6358228965128125,7.980147917165237,0.3849596549996561,6.882890664793185,-0.7070329322912091,71.65087074312814,0.7594058932625691,8.435103744221752,8.46468373556438,,,,,,,,,,,,,,
22,Level 1,13.0,Random Forest,"(2, 'shafter', 13)",0.4397845245927267,5.9360084403024445,-1.9258245120450148,60.20133279409179,0.30874962188606536,7.516151458219715,7.758951784493303,0.441954257824378,14.005357130297167,4.394995252329875,325.96644456550024,0.39490445459677614,17.511438013409926,18.05454082953926,,,,,,,,,,,,,,
23,Level 1,13.0,Random Forest,"(4, 'elcajon', 13)",0.3476624732991377,6.737739942528736,-4.6015607040229884,72.55616683764367,0.3010590675464977,7.168110345470077,8.517990774686464,0.5068736150006089,8.971881465517242,-2.2210369971264363,115.03650635704021,0.608205104449211,10.493021538834077,10.725507277375751,,,,,,,,,,,,,,
24,Level 1,15.0,Random Forest,"(2, 'donovan', 15)",0.5329698092847592,5.6757356982263305,0.7442653010242319,88.33483471896078,0.3397651298103934,9.369146379508226,9.398661325899598,0.1771963229397887,7.617892580564576,1.2860044966275304,108.55987237971522,0.6367801740278687,10.3395389072419,10.419206897826497,,,,,,,,,,,,,,
